Brand,Product Name,Color,Dimensions,Weight
American Tourister,Wavebreaker Disney Carry-On,Minnie Comics White,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Wavebreaker Disney Carry-On,Winnie The Pooh,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Wavebreaker Disney Carry-On,Mickey Comics Red,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Air Move Carry-On,Teal,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Air Move Carry-On,Midnight Navy,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Air Move Carry-On,Sunset Yellow,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Air Move Carry-On,Black,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Air Move Carry-On,Peaceful Pink,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Air Move Carry-On,Sunset Yellow,19.5in H x 15in L x 7in W,5.3 lbs
American Tourister,Stratum 2.0 Carry-On,Purple Haze,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jet Black,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Slate Blue,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,White,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Soft Coral,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Stratum 2.0 Carry-On,Jade Green,19.1in H x 14.4in L x 9.5in W,7.3 lbs
American Tourister,Airconic Carry-On,Onyx Black,19.3in H x 14.5in L x 7in W,4.4 lbs
American Tourister,Airconic Carry-On,Onyx Black,19.3in H x 14.5in L x 7in W,4.4 lbs
American Tourister,Airconic Carry-On,Deep Orchid,19.3in H x 14.5in L x 7in W,4.4 lbs
American Tourister,Airconic Carry-On,Aqua Green,19.3in H x 14.5in L x 7in W,4.4 lbs
American Tourister,Airconic Carry-On,Onyx Black,19.3in H x 14.5in L x 7in W,4.4 lbs
American Tourister,Keith Haring x Disney Mickey Carry-On,Mickey,18.7in H x 13.8in L x 8.9in W,6.2 lbs
American Tourister,Wavebreaker Carry-On,Nightshade,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Wavebreaker Carry-On,Nightshade,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Wavebreaker Carry-On,Nightshade,21.6in H x 15.8in L x 7.9in W,5.7 lbs
American Tourister,Wavebreaker Carry-On,Celery Green,21.6in H x 15.8in L x 7.9in W,5.7 lbs
