Brand, Product Name,Color,Dimensions,Weight
Away Travel,The Carry-On,Sea Green, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Clay Pink, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Tango Red, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Coast Blue, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Translucent Green, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Olive Green, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Jet Black, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Sunshine Yellow, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Cloud Gray, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Navy Blue, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Salt White (Gloss), 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Carry-On,Sorbet Orange, 21.7" x 14.4" x 9", 7.5 lbs
Away Travel,The Bigger Carry-On,Tango Red, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Cloud Gray, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Olive Green, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Jet Black, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Navy Blue, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Coast Blue, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Sunshine Yellow, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Salt White (Gloss), 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Sea Green, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Bigger Carry-On,Sorbet Orange, 22.7" x 15.4" x 9.6", 7.9 lbs
Away Travel,The Carry-On Flex,Jet Black, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Clay Pink, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Sorbet Orange, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Navy Blue,&nbsp;21.7" x 14.4" x 9",&nbsp;7.9 lbs
Away Travel,The Carry-On Flex,Olive Green, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Sunshine Yellow, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Salt White (Gloss), 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Coast Blue, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Cloud Gray, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Sea Green, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Carry-On Flex,Tango Red, 21.7" x 14.4" x 9", 7.9 lbs
Away Travel,The Bigger Carry-On Flex,Cloud Gray, 22.7" x 15.4" x 9.6", 8.6 lbs
