Brand,Product Name,Color,Dimensions,Weight
Samsonite,Outline Pro Carry-On Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Emerald Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Mars Red,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Stone Grey,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Chili Red,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Black,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,White,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Freeform Carry-On Spinner,White/Grey,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Sky Blue,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Black,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,White,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Blue,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Emerald Green,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Midnight Black,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Mars Red,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Outline Pro Carry-On Spinner,Stone Grey,20.5in H x 14.5in L x 10in W,6.4 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Chili Red,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Black,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,White,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Voltage DLX Global Carry-On Spinner,Blue,20in H x 14in L x 9in W,6.1 lbs
Samsonite,Freeform Carry-On Spinner,White/Grey,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Navy,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Sky Blue,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Black,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,White,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Freeform Carry-On Spinner,Amethyst Purple,20.5in H x 14.5in L x 10in W,6.5 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Outline Pro Global Carry-On Spinner,Midnight Black,20in H x 13.8in L x 9in W,6.1 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Silver,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Black,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Sapphire Blue,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Novaire Carry-On Spinner,Rose Gold,19.8in H x 14.8in L x 9in W,7.2 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Theorym Global Carry-On Spinner,Dahlia Purple,20in H x 13.8in L x 8in W,6.6 lbs
Samsonite,Silhouette 18 Softside Carry-On Spinner,Black,20.4in H x 14.1in L x 8in W,8.3 lbs
